epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.35104,1.19074,3.40907,1.28593,0.01422,0.66509,0.24968,0.15399,0.83833,3.36404,1.02728,7.5e-05,7.5e-05,7.5e-05
2,8.73819,1.17259,3.04789,1.26221,0.01681,0.75792,0.44868,0.31498,0.973,3.24629,1.08194,0.000159819,0.000159819,0.000159819
3,11.095,1.18828,2.32312,1.25648,1,0.07201,0.49366,0.35287,1.03263,3.01794,1.14262,0.00024175,0.00024175,0.00024175
4,13.0781,1.11162,2.10717,1.21844,1,0.14474,0.48335,0.34143,1.07712,2.93133,1.16361,0.000320794,0.000320794,0.000320794
5,15.1616,1.1915,1.86541,1.27597,0.80344,0.28097,0.47442,0.3018,1.17044,2.82985,1.20219,0.00039695,0.00039695,0.00039695
6,17.4096,1.17983,1.7991,1.25832,0.75382,0.43443,0.51357,0.33824,1.25006,2.54451,1.26599,0.000470219,0.000470219,0.000470219
7,20.6103,1.13458,1.67191,1.2335,0.73848,0.43232,0.51262,0.34689,1.26679,2.46385,1.30149,0.0005406,0.0005406,0.0005406
8,22.8795,1.14218,1.56766,1.25351,0.66114,0.4622,0.52973,0.36137,1.27747,2.40666,1.32122,0.000608094,0.000608094,0.000608094
9,24.8539,1.10653,1.4817,1.21039,0.69488,0.4527,0.54673,0.39173,1.34647,2.32381,1.4137,0.0006727,0.0006727,0.0006727
10,26.8264,1.10709,1.5053,1.21829,0.58424,0.47834,0.52667,0.35391,1.35059,2.34617,1.45516,0.000734419,0.000734419,0.000734419
11,28.7279,1.14177,1.51031,1.28202,0.5109,0.43253,0.4707,0.33045,1.27614,2.35974,1.40253,0.00079325,0.00079325,0.00079325
12,30.6369,1.10238,1.47431,1.22152,0.58933,0.5187,0.51974,0.34794,1.2922,2.18527,1.36899,0.000849194,0.000849194,0.000849194
13,33.1579,1.10213,1.43147,1.21082,0.59009,0.42138,0.49967,0.32633,1.35444,2.07814,1.42869,0.00090225,0.00090225,0.00090225
14,36.5834,1.0601,1.37112,1.1847,0.79862,0.38329,0.54919,0.358,1.36436,1.91154,1.47273,0.000952419,0.000952419,0.000952419
15,38.8604,1.10997,1.3877,1.24085,0.7059,0.57418,0.62156,0.43311,1.3012,1.69346,1.35682,0.00096125,0.00096125,0.00096125
16,40.8594,1.06159,1.37551,1.16901,0.72235,0.54132,0.63523,0.46409,1.27594,1.6957,1.35204,0.000940625,0.000940625,0.000940625
17,42.9088,1.04422,1.29172,1.16712,0.72509,0.52997,0.62526,0.45746,1.31255,1.77019,1.35608,0.00092,0.00092,0.00092
18,44.8268,1.00575,1.23057,1.13062,0.73727,0.50057,0.61834,0.42597,1.36025,1.79097,1.40402,0.000899375,0.000899375,0.000899375
19,46.945,0.9865,1.21496,1.15553,0.59547,0.6203,0.62549,0.3985,1.3838,1.64059,1.42398,0.00087875,0.00087875,0.00087875
20,49.8424,1.02665,1.261,1.17461,0.6864,0.55978,0.64992,0.43443,1.34695,1.665,1.43193,0.000858125,0.000858125,0.000858125
21,52.7679,0.95659,1.18937,1.13776,0.64048,0.59845,0.64175,0.42969,1.34025,1.69082,1.43001,0.0008375,0.0008375,0.0008375
22,54.7965,0.96682,1.16614,1.12852,0.75729,0.58845,0.65895,0.43797,1.38096,1.61768,1.4226,0.000816875,0.000816875,0.000816875
23,56.7406,0.96996,1.16688,1.12612,0.68524,0.58848,0.67077,0.42969,1.35059,1.60159,1.4145,0.00079625,0.00079625,0.00079625
24,58.6955,0.98709,1.15769,1.13476,0.67631,0.60302,0.65413,0.40586,1.41465,1.62787,1.4195,0.000775625,0.000775625,0.000775625
25,60.5001,0.98051,1.14484,1.11705,0.73988,0.5588,0.65944,0.39412,1.47843,1.67815,1.45818,0.000755,0.000755,0.000755
26,62.9273,0.92177,1.121,1.09767,0.59011,0.56674,0.60158,0.38316,1.425,1.66518,1.41593,0.000734375,0.000734375,0.000734375
27,65.8591,0.95697,1.10001,1.09717,0.7239,0.58763,0.65572,0.42961,1.30234,1.52128,1.35167,0.00071375,0.00071375,0.00071375
28,68.1946,0.91205,1.07169,1.10603,0.74314,0.6201,0.68094,0.47978,1.2392,1.39534,1.35697,0.000693125,0.000693125,0.000693125
29,70.1916,0.92182,1.09602,1.1208,0.811,0.62599,0.68941,0.49194,1.22856,1.37356,1.37333,0.0006725,0.0006725,0.0006725
30,72.1662,0.91278,1.04816,1.08496,0.81533,0.61306,0.67091,0.47793,1.20998,1.49195,1.36372,0.000651875,0.000651875,0.000651875
31,74.1417,0.90346,1.02293,1.08369,0.78001,0.5804,0.67429,0.44188,1.27554,1.57395,1.35873,0.00063125,0.00063125,0.00063125
32,76.0496,0.8782,1.01552,1.06773,0.70186,0.63128,0.67781,0.4611,1.26796,1.55185,1.32489,0.000610625,0.000610625,0.000610625
33,78.5615,0.8301,0.95624,1.06768,0.74194,0.60669,0.68059,0.47637,1.21919,1.46676,1.29924,0.00059,0.00059,0.00059
34,83.2305,0.83988,0.96952,1.06892,0.8234,0.61297,0.7086,0.49194,1.17614,1.38912,1.29345,0.000569375,0.000569375,0.000569375
35,85.3681,0.8972,1.03628,1.09303,0.74,0.68207,0.7254,0.49002,1.16789,1.31653,1.31367,0.00054875,0.00054875,0.00054875
36,87.2741,0.88047,1.03725,1.11754,0.81775,0.64321,0.72441,0.50111,1.15686,1.30441,1.29698,0.000528125,0.000528125,0.000528125
37,89.3465,0.85526,0.96785,1.06994,0.82224,0.65105,0.72217,0.50008,1.16113,1.30059,1.29708,0.0005075,0.0005075,0.0005075
38,91.242,0.78467,0.92974,1.04047,0.75094,0.65504,0.74359,0.51503,1.18163,1.31695,1.31295,0.000486875,0.000486875,0.000486875
39,93.7358,0.81392,0.93248,1.05368,0.69407,0.65952,0.72876,0.49631,1.21774,1.3873,1.36059,0.00046625,0.00046625,0.00046625
40,96.9281,0.78898,0.92012,1.04874,0.7983,0.63408,0.72154,0.49235,1.25451,1.45574,1.38218,0.000445625,0.000445625,0.000445625
41,99.06,0.8307,0.92351,1.04426,0.80092,0.6227,0.7207,0.49188,1.24435,1.42586,1.38082,0.000425,0.000425,0.000425
42,101.045,0.80369,0.85964,1.03674,0.9033,0.59246,0.74986,0.5153,1.20716,1.29693,1.36672,0.000404375,0.000404375,0.000404375
43,103.348,0.7716,0.88792,1.03287,0.96032,0.57112,0.73879,0.50469,1.20987,1.28866,1.36723,0.00038375,0.00038375,0.00038375
44,105.279,0.78859,0.88963,1.03074,0.77787,0.64667,0.7255,0.51432,1.18585,1.31698,1.36193,0.000363125,0.000363125,0.000363125
45,107.215,0.76113,0.84275,1.0136,0.76762,0.66102,0.73257,0.51604,1.16526,1.30993,1.34175,0.0003425,0.0003425,0.0003425
46,110.151,0.7537,0.83684,1.00402,0.70642,0.65905,0.73839,0.52917,1.13822,1.25822,1.33047,0.000321875,0.000321875,0.000321875
47,113.26,0.76865,0.84696,1.0301,0.831,0.60105,0.74056,0.52553,1.12902,1.21712,1.30888,0.00030125,0.00030125,0.00030125
48,115.252,0.7819,0.87354,1.00855,0.87729,0.60204,0.74868,0.53958,1.145,1.18809,1.31883,0.000280625,0.000280625,0.000280625
49,117.242,0.72137,0.82677,1.01234,0.88573,0.60552,0.75182,0.54557,1.13616,1.19062,1.30957,0.00026,0.00026,0.00026
50,119.241,0.76062,0.84246,1.02505,0.81351,0.68352,0.76482,0.56149,1.1072,1.17935,1.28633,0.000239375,0.000239375,0.000239375
51,123.166,0.76287,1.05629,1.01037,0.72534,0.71009,0.75967,0.55222,1.11481,1.17291,1.29237,0.00021875,0.00021875,0.00021875
52,127.714,0.70543,0.911,1.0106,0.76699,0.70238,0.75804,0.54445,1.14555,1.28447,1.30134,0.000198125,0.000198125,0.000198125
53,129.902,0.72026,0.92408,0.97357,0.75013,0.68933,0.737,0.52013,1.15057,1.41569,1.29316,0.0001775,0.0001775,0.0001775
54,132.036,0.72101,0.93819,1.00335,0.74335,0.67859,0.71869,0.50381,1.16122,1.54464,1.29718,0.000156875,0.000156875,0.000156875
55,134.04,0.71932,0.91837,0.96828,0.72033,0.63359,0.71473,0.51352,1.14557,1.4954,1.28859,0.00013625,0.00013625,0.00013625
56,135.936,0.68714,0.86876,0.96856,0.79598,0.64321,0.74872,0.54467,1.0903,1.3261,1.25987,0.000115625,0.000115625,0.000115625
57,137.949,0.65249,0.8131,0.95025,0.82812,0.64633,0.76911,0.55779,1.0909,1.25656,1.26104,9.5e-05,9.5e-05,9.5e-05
58,141.112,0.64924,0.7872,0.94505,0.83594,0.66755,0.78003,0.56546,1.07768,1.19249,1.25369,7.4375e-05,7.4375e-05,7.4375e-05
59,143.743,0.6752,0.8528,0.99347,0.888,0.63376,0.77799,0.56339,1.06927,1.1558,1.25368,5.375e-05,5.375e-05,5.375e-05
60,145.792,0.64803,0.82174,0.9917,0.90219,0.63427,0.77718,0.56302,1.06189,1.14129,1.25401,3.3125e-05,3.3125e-05,3.3125e-05
